"ID","oc_coffee_doll","NPV_restoration","total_bags","area_coffe_field_ha","group","total_bags_presente","bags_dif","yield_reais_pres","yield_reais_futur","dif_reais","NPV_yield_r","NPV_yield_d","NPV_yield_r_n.progr","NPV_yield_d_n.progr","NPV_yield_r_pres","NPV_yield_d_pres","CARedit","area_rest_ha","total_cost","NUM_MODULO","Sobreposicao","Area_Propriedade_ha","X","Y","APP_area_ha","RL_area_ha","CD_GEOCMU","regiao","Veg_area_ha","PropRL","PropVeg","Cafe_ha","Prop_coffee","Shape_Length","Shape_Area","Perimeter_Area","APPRast_ha","PropAPPrast","Veg_posrest_ha","PropVegposrest","target","compensation_costs","scale","Potential_comp_gain","restor_cost","TonC","rest_desc","restor_cost_f"
"MG-3123601-EBCE8799E082407AA215C2D76A8D6C5Dindiv10",0,30339.3371157045,6252.66000000052,192.150000000016,"Scenarios",5880.9600000005,371.70000000002,2515164.03279381,2674132.37656582,158968.343772009,578057.347675084,179848.216840301,1560774.63227165,485596.343740986,24694251.2278843,7683004.23375593,"MG-3123601-EBCE8799E082407AA215C2D76A8D6C5D",34.11,141591.9218,16.9442,0.017485761,440.5503235,436873.5625,7617867,43.68145752,109.635231,3123601,3105,20.98252296,0.248859718,0.047627982,193.3650055,0.438916951,12044.85185,4405503.18,0.002734047,34.91999817,0.079264492,55.09252296,0.125053870173812,"indiv10",52143.4830090347,"farm-level",0,111252.584684296,2925.45083221436,0.51533515344074,57332.3677989606
"MG-3123601-EBCE8799E082407AA215C2D76A8D6C5Dindiv20",2920.5415853852,39283.9318598589,6884.4600000002,189.630000000006,"Scenarios",5880.9600000005,1003.4999999997,2515164.03279381,2944340.06985369,429176.037059871,1560614.87326269,485546.638684901,4213713.59559874,1310992.550293,24694251.2278843,7683004.23375593,"MG-3123601-EBCE8799E082407AA215C2D76A8D6C5D",67.14,210966.063662109,16.9442,0.0174857611694847,440.550323486328,436873.5625,7617867,43.6814575195312,109.635231018066,3123601,3105,20.9825229644775,0.248859718441963,0.0476279817521572,193.365005493164,0.438916951417923,12044.8518537147,4405503.17967955,0.00273404689505696,34.9199981689453,0.0792644917964935,88.1225229644775,0.20002827887428,"indiv20",0,"farm-level",0,171682.13180225,5734.71369827271,0.463393191207404,79556.3309291348
"MG-3123601-EBCE8799E082407AA215C2D76A8D6C5Dindiv30",5945.38822739831,51226.3063139071,6350.22000000029,187.020000000008,"Scenarios",5880.9600000005,469.25999999979,2515164.03279381,2715856.75541532,200692.72262151,729779.905756992,227052.930412798,1970430.73430032,613050.686746788,24694251.2278843,7683004.23375593,"MG-3123601-EBCE8799E082407AA215C2D76A8D6C5D",111.24,317644.450180664,16.9442,0.0174857611694847,440.550323486328,436873.5625,7617867,43.6814575195312,109.635231018066,3123601,3105,20.9825229644775,0.248859718441963,0.0476279817521572,193.365005493164,0.438916951417923,12044.8518537147,4405503.17967955,0.00273404689505696,34.9199981689453,0.0792644917964935,132.222522964477,0.300130350417461,"indiv30",0,"farm-level",680.664852051744,266418.143866757,9501.94570289612,0.431003054034397,114827.033656748
"MG-3123601-EBCE8799E082407AA215C2D76A8D6C5Dindiv40",34445.0408775598,99194.0301749408,4567.36500000021,162.360000000007,"Scenarios",5880.9600000005,-1313.59500000029,2515164.03279381,1953366.82661349,-561797.206180324,-5515807.7833716,-1716106.88500551,-5515807.7833716,-1716106.88500551,24694251.2278843,7683004.23375593,"MG-3123601-EBCE8799E082407AA215C2D76A8D6C5D",155.25,498017.481152344,16.9442,0.0174857611694847,440.550323486328,436873.5625,7617867,43.6814575195312,109.635231018066,3123601,3105,20.9825229644775,0.248859718441963,0.0476279817521572,193.365005493164,0.438916951417923,12044.8518537147,4405503.17967955,0.00273404689505696,34.9199981689453,0.0792644917964935,176.232522964478,0.400028132018717,"indiv40",0,"farm-level",70184.1640918957,398823.450977403,13267.8486563873,0.411990833777644,164311.606098258
"MG-3123601-EBCE8799E082407AA215C2D76A8D6C5Dint20",0,30339.3371157045,7526.43000000065,192.150000000016,"Scenarios",5880.9600000005,1645.47000000015,2515164.03279381,3218897.26019908,703733.227405264,2558988.49577335,796165.847092333,6909356.56218491,2149675.04905975,24694251.2278843,7683004.23375593,"MG-3123601-EBCE8799E082407AA215C2D76A8D6C5D",34.11,141591.921811523,16.9442,0.0174857611694847,440.550323486328,436873.5625,7617867,43.6814575195312,109.635231018066,3123601,3105,20.9825229644775,0.248859718441963,0.0476279817521572,193.365005493164,0.438916951417923,12044.8518537147,4405503.17967955,0.00273404689505696,34.9199981689453,0.0792644917964935,55.0925229644775,0.125053870187857,"int20",52152.3753776887,"regional-level",0,111252.584695819,2925.45083221436,0.51533515344074,57332.3678048988
"MG-3123601-EBCE8799E082407AA215C2D76A8D6C5Dint30",0,30485.5702722846,7572.42000000066,192.150000000016,"Scenarios",5880.9600000005,1691.46000000016,2515164.03279381,3238566.22476748,723402.191973669,2630510.84557045,818418.253582747,7102469.3556694,2209757.30853958,24694251.2278843,7683004.23375593,"MG-3123601-EBCE8799E082407AA215C2D76A8D6C5D",34.65,142061.935649414,16.9442,0.0174857611694847,440.550323486328,436873.5625,7617867,43.6814575195312,109.635231018066,3123601,3105,20.9825229644775,0.248859718441963,0.0476279817521572,193.365005493164,0.438916951417923,12044.8518537147,4405503.17967955,0.00273404689505696,34.9199981689453,0.0792644917964935,55.6325229644775,0.126279609839406,"int30",56341.8547326367,"regional-level",0,111576.365377129,2971.7480065155,0.513998811844793,57350.1192338048
"MG-3123601-EBCE8799E082407AA215C2D76A8D6C5Dint40",1147.3556228313,31728.5521032162,5134.50000000043,191.160000000016,"Scenarios",5880.9600000005,-746.46000000007,2515164.03279381,2195918.64702018,-319245.38577363,-3134398.25667351,-975190.332926852,-3134398.25667351,-975190.332926852,24694251.2278843,7683004.23375593,"MG-3123601-EBCE8799E082407AA215C2D76A8D6C5D",39.24,149646.950112305,16.9442,0.0174857611694847,440.550323486328,436873.5625,7617867,43.6814575195312,109.635231018066,3123601,3105,20.9825229644775,0.248859718441963,0.0476279817521572,193.365005493164,0.438916951417923,12044.8518537147,4405503.17967955,0.00273404689505696,34.9199981689453,0.0792644917964935,60.2225229644775,0.136698396877574,"int40",47914.3453982372,"regional-level",0,117918.398009089,3357.69407089233,0.503654999737849,59390.1907183553
"MG-3123601-EBCE8799E082407AA215C2D76A8D6C5Dpresent",0,0,5880.9600000005,192.150000000016,"Present",5880.9600000005,0,2515164.03279381,2515164.03279381,0,0,0,0,0,24694251.2278843,7683004.23375593,"MG-3123601-EBCE8799E082407AA215C2D76A8D6C5D",0,0,16.9442,0.0174857611694847,440.550323486328,436873.5625,7617867,43.6814575195312,109.635231018066,3123601,3105,20.9825229644775,0.248859718441963,0.0476279817521572,193.365005493164,0.438916951417923,12044.8518537147,4405503.17967955,0.00273404689505696,34.9199981689453,0.0792644917964935,20.9825229644775,0.0476279817521572,"present",0,"present",0,0,0,0,0
"MG-3123601-ED2AD07932D34795B049FAD65ABC97D4indiv10",104.3050566209,8815.52107445538,2390.85000000014,64.8000000000046,"Scenarios",2079.54000000004,311.3100000001,889375.920386417,1022516.71968606,133140.799299643,484140.524360448,150628.324951759,1307195.99346951,406701.635109085,8732023.88698972,2716752.813191,"MG-3123601-ED2AD07932D34795B049FAD65ABC97D4",18.09,53766.54397,7.5,0.017156243,194.8714905,434356.625,7620879,13.74054241,32.59742737,3123601,3105,1.552549839,0.167276531,0.007967045,64.23750305,0.329640329,7485.781114,1948714.975,0.003841394,11.34000015,0.058192197,19.642549839,0.100797452662784,"indiv10",30529.9738823738,"farm-level",0,44951.0228955446,1462.90845245361,0.575780547453036,25881.9245713706
"MG-3123601-ED2AD07932D34795B049FAD65ABC97D4indiv20",625.830339725401,14128.6590968686,2186.91000000016,64.350000000005,"Scenarios",2079.54000000004,107.37000000012,889375.920386417,935295.831795668,45919.9114092513,166978.79316637,51951.3130001711,450848.459153041,140270.323991189,8732023.88698972,2716752.813191,"MG-3123601-ED2AD07932D34795B049FAD65ABC97D4",37.71,97824.3107629395,7.5,0.0171562426324211,194.871490478516,434356.625,7620879,13.7405424118042,32.5974273681641,3123601,3105,1.55254983901978,0.167276531457901,0.00796704459935427,64.2375030517578,0.329640328884125,7485.78111408985,1948714.97485802,0.00384139362722635,11.3400001525879,0.0581921972334385,39.2625498390198,0.201479188888066,"indiv20",0,"farm-level",0,83695.6516660709,3133.26536956787,0.506916431890028,42426.7011072753
