"property_ID","scen","predicted_coffee_bags","yield_USD_future","diff_USD","npv_yield_USD_future"
15,"fl30",847.800000000039,112955.262257949,-133915.538099461,-1313108.95082322
15,"fl40",1204.38000000006,160463.62203141,-86407.178326,-847265.678692037
15,"rl20",972.8100000001,129610.767488985,-117260.032868425,-1149793.37662067
15,"rl30",977.040000000101,130174.344699826,-116696.455657583,-1144267.21968222
15,"rl40",1028.4300000001,137021.208261322,-109849.592096088,-1077130.29177033
15,"baseline",1852.9200000002,246870.80035741,0,0
16,"fl10",1474.20000000002,196412.653480377,-98206.3267401897,-962962.240977862
16,"fl20",737.100000000012,98206.3267401885,-196412.653480378,-1925924.48195571
16,"fl30",786.240000000013,104753.415189535,-189865.565031032,-1861726.99922385
16,"fl40",1425.06000000002,189865.565031031,-104753.415189536,-1027159.72370972
16,"rl20",687.960000000011,91659.2382908427,-202959.741929723,-1990121.96468756
16,"rl30",638.82000000001,85112.1498414966,-209506.830379069,-2054319.44741942
16,"rl40",540.540000000009,72017.972942805,-222601.007277761,-2182714.41288313
16,"baseline",2211.30000000004,294618.980220566,0,0
17,"fl10",1645.56000000007,219243.526021692,-9400.9475170067,-92181.0008457157
17,"fl20",752.039999999976,100196.833484857,-128447.640053842,-1259493.47073936
17,"fl30",996.569999999942,132776.392673263,-95868.0808654349,-940034.568573743
17,"fl40",1141.55999999993,152093.900900178,-76550.5726385206,-750616.721172624
17,"rl20",1885.14000000004,251163.57996337,22519.1064246716,220811.121923842
17,"rl30",1824.75000000005,243117.615953278,14473.1424145794,141916.413291849
17,"rl40",1747.62000000007,232841.325108794,4196.85157009611,41152.2325204462
17,"baseline",1716.12000000005,228644.473538698,0,0
18,"fl10",4893.48000000002,651974.895911779,145906.542585431,1430686.75802432
18,"fl20",3161.60999999995,421231.996588031,-84836.3567383165,-831862.985948483
18,"fl30",3825.17999999993,509641.672663168,3573.319336821,35038.1865459438
18,"fl40",3638.0700000001,484712.374336835,-21355.9789895114,-209406.07462513
18,"rl20",3103.92000000001,413545.762712523,-92522.5906138224,-907230.360364375
18,"rl30",3276.00000000002,436472.563289723,-69595.7900366249,-682421.592995666
18,"rl40",5142.96000000003,685213.960346919,179145.607020573,1756612.43958606
18,"baseline",3798.35999999994,506068.353326346,0,0
19,"fl10",920.520000000033,122643.993882621,-33706.7136100944,-330511.216042585
19,"fl20",578.970000000022,77138.1318583206,-79212.575634395,-776718.994371157
19,"fl30",701.910000000025,93517.8439861717,-62832.8635065439,-616107.709734312
19,"fl40",837.990000000029,111648.242768976,-44702.4647237399,-438330.065246091
19,"rl20",656.820000000023,87510.3507386947,-68840.3567540209,-675014.191142117
19,"rl30",614.250000000021,81838.6056168252,-74512.1018758903,-730628.493948287
19,"rl40",319.410000000011,42556.0749207492,-113794.632571966,-1115813.39033943
19,"baseline",1173.51000000004,156350.707492716,0,0
20,"fl10",2953.89000000011,393556.758234408,-48407.6851099692,-474661.607671862
20,"fl20",2819.97000000021,375714.14355928,-66250.299785096,-649617.384787119
20,"fl30",2973.69000000063,396194.779221393,-45769.6641229841,-448794.49008692
20,"fl40",2630.07000000036,350413.124093878,-91551.3192504966,-897706.557981457
20,"rl20",3778.02000000025,503358.386312558,61393.9429681804,601998.372869717
20,"rl30",3796.83000000025,505864.506250128,63900.0629057505,626572.134574769
20,"rl40",3584.25000000016,477541.753654227,35577.3103098505,348853.353965414
20,"baseline",3317.22000000058,441964.443344377,0,0
21,"fl10",1659.06000000019,221042.176694605,-38563.0704269464,-378130.227959363
21,"fl20",1598.04000000018,212912.275653108,-46692.9714684433,-457847.98124179
21,"fl30",3010.86000000037,401147.064074069,141541.816952517,1387888.43620291
21,"fl40",1649.0700000002,219711.175196662,-39894.0719248891,-391181.364558683
21,"rl20",1875.33000000021,249856.560474421,-9748.68664713081,-95590.7572548508
21,"rl30",1927.98000000021,256871.29809872,-2733.9490228317,-26807.740042148
21,"rl40",2034.27000000022,271032.674396665,11427.4272751136,112051.650262483
21,"baseline",1948.50000000042,259605.247121551,0,0
22,"fl10",3293.46000000044,438798.818160059,-30541.0884257957,-299470.674941472
22,"fl20",4732.65000000063,630546.970895411,161207.064309557,1580716.04001318
22,"fl30",3375.90000000046,449782.578269221,-19557.3283166342,-191769.403545146
22,"fl40",3723.93000000047,496151.792616511,26811.8860306569,262903.976901911
22,"rl20",3443.13000000044,458739.858620246,-10600.0479656088,-103938.781565874
22,"rl30",3894.8400000005,518922.710135393,49582.8035495393,486184.232777031
22,"rl40",3354.75000000044,446964.692215013,-22375.2143708424,-219400.188237453
22,"baseline",3522.69000000045,469339.906585854,0,0
23,"fl10",7450.38000000101,992639.333358639,480287.693681558,4709461.48963753
23,"fl20",5767.92000000011,768479.495497586,256127.855820505,2511461.9618171
23,"fl30",4358.34000000035,580676.383238178,68324.7435610975,669958.345432208
23,"fl40",2805.12000000016,373735.627819087,-138616.011857993,-1359199.45124637
23,"rl20",6834.78000000091,910620.862674514,398269.222997433,3905229.28838118
23,"rl30",7203.87000000105,959795.972071542,447444.332394461,4387415.87571349
23,"rl40",3911.40000000054,521129.054960819,8777.41528373956,86066.9548712912
23,"baseline",3845.52000000053,512351.639677081,0,0
24,"fl10",4049.36999999997,539511.264837754,231642.224660179,2271368.07951272
24,"fl20",4223.88000000013,562761.822536094,254892.782358518,2499351.44767606
24,"fl30",3493.53000000017,465454.821132358,157585.780954785,1545207.54223837
