"codigo_ibg","yield","FC_m","FC2km","FC500m","PollinatorD","EUdist","ID"
3129905,26.33333333,0.106333333,0.102666667,0.097666667,0.3,181.3945009,"other municipalities"
3130002,18.66666667,0.093666667,0.077333333,0.082666667,0.3,236.0657864,"other municipalities"
3130408,19.66666667,0.036333333,0.029333333,0.028,0.3,466.376356,"other municipalities"
3130556,18.66666667,0.201666667,0.241,0.240666667,0.3,79.74098322,"other municipalities"
3130606,22.77777778,0.092666667,0.093333333,0.073,0.3,210.2079033,"other municipalities"
3130804,24.33888889,0.098666667,0.083,0.08,0.3,244.5896848,"other municipalities"
3130903,26.66666667,0.150666667,0.170333333,0.194333333,0.3,122.0675009,"other municipalities"
3131208,18.80555556,0.188333333,0.195333333,0.306666667,0.967,113.6577151,"other municipalities"
3131802,20,0.043333333,0.052333333,0.051666667,0.672,341.084453,"other municipalities"
3132305,15.33333333,0.437666667,0.500333333,0.427333333,0.3,69.19183139,"other municipalities"
3132404,15.06666667,0.173333333,0.071333333,0.047666667,0.3,274.5538694,"other municipalities"
3132602,16.66666667,0.224333333,0.213,0.182,0.3,175.2231281,"other municipalities"
3132701,16.66666667,0.152,0.372,0.340333333,0.3,80.54789027,"other municipalities"
3133204,20.83888889,0.033333333,0.058,0.076333333,0.3,401.0512916,"other municipalities"
3133907,8.611111111,0.297,0.220666667,0.188666667,0.3,139.6829015,"other municipalities"
3134103,20.71111111,0.097666667,0.121666667,0.128,0.594,224.6161772,"other municipalities"
3134301,20.33888889,0.046,0.047333333,0.040333333,0.3,245.9758216,"other municipalities"
3134509,19.32777778,0.055666667,0.070333333,0.064333333,0.3,219.2168408,"other municipalities"
3134905,24.66666667,0.18,0.199,0.173666667,0.3,122.5993404,"study area"
3135506,30.33333333,0.209666667,0.220666667,0.187666667,0.3,141.3874023,"other municipalities"
3135803,15,0.406666667,0.492,0.408,0.3,145.9300421,"other municipalities"
3135902,22,0.105666667,0.137,0.139666667,0.3,172.9738692,"study area"
3136553,11.66666667,0.167666667,0.185,0.199,0.3,80.12703348,"other municipalities"
3136702,11.47777778,0.185666667,0.188333333,0.143333333,0.3,190.1380877,"other municipalities"
3136900,27.80555556,0.136333333,0.167666667,0.177333333,0.3,117.2620441,"study area"
3137007,15.16666667,0.478333333,0.424,0.388,0.3,53.22842321,"other municipalities"
3137403,25,0.122,0.133333333,0.126,0.3,163.3530169,"other municipalities"
3137700,21.66666667,0.310333333,0.300333333,0.285,0.3,80.17830293,"other municipalities"
3137809,20,0.165666667,0.166,0.14,0.3,161.4212201,"other municipalities"
3138203,20,0.043666667,0.045666667,0.045333333,0.3,301.7978651,"other municipalities"
3138674,23,0.373666667,0.382666667,0.337666667,0.3,72.87533355,"other municipalities"
3138708,17.33333333,0.107,0.103666667,0.094666667,0.3,191.9831464,"other municipalities"
3139003,23.83333333,0.104333333,0.114333333,0.1,0.3,199.0310525,"other municipalities"
3139201,20.66666667,0.271333333,0.329,0.293,0.3,97.8038204,"other municipalities"
3139409,22.66666667,0.360666667,0.357666667,0.318,0.3,76.88795618,"other municipalities"
3139508,27.66666667,0.4,0.4,0.352666667,0.3,74.50628459,"other municipalities"
3139607,8.988888889,0.073,0.082666667,0.096666667,0.68,286.8595178,"other municipalities"
3139904,15,0.189,0.145333333,0.135333333,0.3,156.8821139,"other municipalities"
3140001,28.6,0.474,0.442666667,0.416,0.3,38.39924464,"other municipalities"
